Year,Pig Manure (t),Kitchen food waste (t),Municipal fecal residue (t),Chicken litter (t),Bagasse feed (t),Percolate (t),Raw Biogas Produced (m3)
2017,0,13.06,29.34,0,0,210,13186
2017,31.66,8.76,55.1,0,14,158,14760
2017,31.94,10.98,55.3,0,0,90,10615
2017,26.22,8.62,26.02,0,0,90,7939
2017,24.22,16.38,57.12,0,10,170,6790
2017,27.04,8.84,57.08,0,17,178,15839
2017,18.9,17.78,56.2,0,7,198,17399
2017,19.68,13.54,59.72,0,13,195,15608
2017,0,12.3,58.8,0,0,177,13891
2017,25.76,14.18,54.74,0,18,183,15877
2017,33.22,4.72,57.48,0,20,211,23619
2017,24.18,19.28,59.92,0,10,215,19276
2017,39.06,10.78,0,0,15,208,18591
2017,20.82,19.42,0,0,25,141,19635
2017,27.08,9.66,0,0,18,178,19618
2017,19.06,6.22,0,0,47.6,197,20342
2017,32.76,17.84,0,0,81,205,19505
2017,26.64,18.08,0,0,74,208,14282
2017,45.8,10.3,0,0,49,218,13116
2017,40.82,16.8,60.06,0,26,206,14410
2017,27.7,9.2,58.8,0,54.4,198,14689
2017,26.14,7.62,59.66,0,18,151,5406
2017,0,16.72,60.36,0,0,169,0
2017,0,16.32,56.32,0,0,30,750
2017,97,11.8,60.16,0,15,188,12020
2017,27.48,8.62,30.54,0,12,0,11358
2017,0,0,0,0,0,48,8677
2017,0,10.44,0,0,0,90,6620
2017,0,10.78,0,0,0,100,7840
2017,0,6.64,0,0,0,30,6616
2017,27.74,9.76,0,0,5,60,8207
2017,26.5,9.06,0,0,20,130,11025
2017,25.72,9.92,29.88,0,20,76,10745
2017,26.72,21.2,28.34,0,18,66,9808
2017,27.66,14.1,57.8,0,29.6,130,10916
2017,19.68,11.74,58.98,0,5,153,11259
2017,40.24,7.04,60.3,0,20,151,13843
2017,19.2,15.68,57.42,0,25,169,11813
2017,26.16,16.36,61.32,0,35.4,182,11200
2017,29.7,13.76,60.16,0,27.6,189,14732
2017,32.34,11.38,61.28,0,28.2,144,16839
2017,19.44,9.78,30.6,0,29.4,196,15014
2017,20.58,11.3,30.7,0,20.4,161,11491
2017,26.96,12.58,61.64,0,22,202,13625
2017,27.24,12.88,62.3,0,20,216,14275
2017,0.9,16.68,62.3,0,15.6,221,14546
2017,26.92,9.5,61.92,0,12.4,214,20366
2017,42.76,21.68,62.4,0,4,234,20518
2017,33.02,8.26,62.4,0,0,253,16909
2017,27.96,16.52,62.36,0,15.75,262,16666
2017,27.88,15,62.38,0,0,273,16817
2017,21.08,15.52,31.12,0,0,280,19373
2017,6.38,15.06,61.08,0,12,267,11544
2017,38.62,16.96,31,0,18,272,12957
2017,18.4,15.86,62.86,0,21.6,260,16054
2017,35.02,17.66,58.9,0,16.2,282,15031
2017,31.86,12.02,31.1,0,20.25,248,13345
2017,28.96,11.6,0,0,18.45,222,14516
2017,42.78,16.04,62.68,0,13.5,246,16609
2017,33.66,14.37,62.22,7.86,19.8,180,16172
2017,36.18,19.64,62.54,0,2.7,242,15431
2017,26.32,14.98,61.42,14.96,15.3,201,15916
2017,33.02,19.74,62.2,7.68,15.3,247,20425
2017,23.98,14.46,62.42,7,15.3,234,18884
2017,27.92,9.94,31.2,15.08,5.4,218,8511
2017,34.36,23.58,62.42,16.24,10.35,218,17532
2017,12.04,15.8,62.44,0,10.35,230,17380
2017,31.8,29.3,62.66,14.84,10.35,227,16806
2017,27.12,14.8,60.3,14.76,10.35,230,15567
2017,29.36,29.94,62.4,14.66,10.35,223,14204
2017,27.44,14.24,61.78,7.04,10.35,261,17742
2017,35.74,11.42,62.48,6.64,10.35,271,18305
2017,12.24,27.24,62.4,20.8,10.35,282,20524
2017,22.7,20.54,62.4,15.98,0,301,18032
2017,19.7,23.34,30.94,5.4,0,82,7183
2017,40.2,19.04,62.46,13.84,0,201,17273
2017,20.2,20.66,62.4,8.86,0,241,15781
2017,26.2,28.58,31.14,14.68,0,263,19434
2017,27,14.7,31.04,13.22,0,262,18570
2017,26.74,21.12,61.66,16.44,0,263,18189
2017,13.04,25.86,59.9,14.88,0,263,16515
2017,25.46,24.98,58.98,14.36,0,200,17714
2017,14.18,18.56,60.22,6.92,0,201,15376
2017,26.64,22.44,60.86,12.68,0,190,13588
2017,20.66,25.66,60.54,6.9,0,202,17142
2017,19.84,13.32,59.36,14.88,0,201,15078
2017,36.24,27.8,59.96,13.72,0,200,14421
2017,38.3,23.6,60.84,0,0,201,14975
2017,20.3,15.86,58.66,15.28,0,200,13396
2017,20.96,26.26,57.48,20.38,0,244,14688
2017,25.54,18.44,58.94,13.68,0,252,14155
2017,27.72,31.14,60.44,0,0,272,16227
2017,34.98,19.84,60.82,0,0,279,13113
2017,23.32,17.92,0,13.9,0,182,9867
2017,21.34,18.98,57.68,22.48,0,283,11588
2017,19.64,29.9,59.28,15.76,0,202,14660
2017,33.38,22.64,58.64,6.72,0,321,18424
2017,21.14,21.2,60.8,14.9,0,311,15617
2017,36.04,27.08,58.3,7.12,0,286,11826
2017,17.28,26,60.72,14.54,0,337,11143
2017,25.9,31.12,58.7,0,0,343,15250
2017,26.58,21.2,62.14,6.84,0,320,12511
2017,20.46,35.4,62.28,28.38,0,320,14986
2017,33.56,20.92,62.58,0,0,320,7191
2017,14.42,31.3,31.26,16.88,0,294,8389
2017,27.26,26.62,30.22,6.96,0,300,15977
2017,25.22,28,31.14,13.4,0,307,12225
2017,25.3,24.84,30.48,7.62,0,296,11126
2017,28.44,30,62,16.42,0,119,13940
2017,18.56,27.24,61.3,32.36,0,163,13095
2017,13.86,18.68,62.3,6.3,0,160,8827
2017,33.08,45.06,61.52,0,0,203,13607
2017,29.7,25.58,61.9,15,0,340,16164
2017,20.09,19.14,92.46,14.22,0,360,14794
2017,28.38,38.64,62.2,15,0,385,13004
2017,19.78,30.62,62.36,16.78,0,400,14304
2017,26.74,32.06,60.82,6.46,0,375,13531
2017,25.92,29.6,61.78,13.92,0,370,15307
2017,26.74,41.02,62.34,8.04,0,442,13392
2017,35.3,31.28,0,6.96,0,442,10997
2017,13.12,26.72,0,28.84,0,465,15665
2017,24.74,34.86,0,13.68,0,440,13013
2017,0,33.58,0,0,0,432,13149
2017,37.62,35.92,0,0,0,340,14168
2017,19.84,32.42,0,22.46,0,441,18702
2017,26.3,37.72,0,22.6,0,443,14513
2017,23.04,22.66,30.5,8.02,0,30,6512
2017,28.56,45.06,61.72,6.84,0,254,15630
2017,32,43.76,59.4,6.74,0,375,15106
2017,12.66,35.72,62.32,7.76,0,350,14208
2017,26.4,20.2,62.08,5.56,0,302,13044
2017,19.4,48.62,62.02,23.5,0,157,3601
2017,32.46,35.62,61.06,0,0,63,13376
2017,0,27.16,57.18,0,0,36,0
2017,0,42.06,60.04,0,0,76,0
2017,39.38,53.12,57.76,20.12,0,119,11390
2017,45.68,24.24,60.18,7.42,0,160,11119
2017,19.24,49.92,59.9,22.44,0,83,9704
2017,36.38,28.08,58.72,15.76,0,184,15225
2017,26.3,42.14,60.14,7.6,10,178,12765
2017,24.84,51.26,59.24,15.92,7.5,173,14302
2017,29.78,31.02,58.64,19.7,10,182,14801
2017,23.26,37.04,58.92,7.32,10,173,14188
2017,20.46,43.2,58.9,6.56,10,136,13477
2017,22.84,20.9,59.62,15.1,15,185,11560
2017,25.12,62.1,55.06,9.26,15.3,154,16360
2017,25.68,16.6,58.28,14.56,15.3,101,13872
2017,18.38,64.66,58.3,21.06,12.15,102,12302
2017,17.92,7.4,58.96,31.22,15.3,174,23853
2017,18.12,55.3,0,16.3,10.8,164,17404
2017,12.78,29.66,47.06,22.92,1.35,295,13754
2017,25.78,42.36,58.5,22.32,15.3,308,18744
2017,18.66,43.7,57.22,27.96,20.25,312,18533
2017,24.08,26.58,30.18,7.2,20.25,310,18106
2017,11.2,48.3,55.42,16.32,20.25,334,16790
2017,5.56,33.08,58.76,27.16,18,352,18787
2017,27.6,42.48,56.68,6.78,20.25,392,18667
2017,11.4,13.48,58.74,7.76,15.75,398,18916
2017,17.84,62.46,59.86,13.22,35,476,19957
2017,17.74,19.62,61.18,6.2,35,480,19637
2017,24.52,40.38,0,11.82,35,406,17667
2017,33.44,62.98,0,14.34,35,239,19603
2017,13.08,36.06,58.82,0,35,309,17535
2017,21.74,42.56,57.48,22.36,27.9,316,18225
2017,12.26,49.56,59.58,12.28,35,208,14773
2017,18.58,43.02,119.14,14.96,35,315,17948
2017,18.12,39.44,60.12,13.64,12.6,244,15945
2017,24.44,26.42,58.98,30,15.75,250,16334
2017,30.78,42.4,59.22,5.8,15.57,250,16874
2017,20.96,45.54,59.88,27.44,22.05,248,17804
2017,12.02,44.8,59,14.96,35,197,17633
2017,5.54,14.48,58.14,0,35,211,16411
2017,27.16,65.06,56.78,31.58,27,230,18479
2017,30.74,50.64,58.14,14.26,36,273,19264
2017,17.94,43.54,57.74,22.42,36.9,291,20065
2017,22.14,54.94,59.5,13.06,27,318,18255
2017,18.7,41.56,57.5,0,40,327,19057
2017,6.64,50.14,4.36,34.72,10.8,314,16029
2017,12.2,39.2,30.22,18.7,24.75,339,20140
2017,17.54,45.08,59.64,22.48,13.5,341,21041
2017,35.92,41.2,59.28,13.08,5.4,366,12707
2017,0,48.48,59.42,0,0,364,0
2017,0,45.62,56.64,0,0,365,5326
2017,46.86,46.72,60.04,36.4,0,369,20731
2017,12.74,42.82,60.62,35.5,18,361,18843
2017,24.64,38.92,59.64,19.52,13.5,363,18522
2017,12.16,44.48,60.86,36.28,10.8,380,20155
2017,33.08,48.6,60.91,34.12,15.3,383,21001
2017,17.94,55.6,60.78,63.26,13.5,374,19774
2017,25.54,32.64,62.18,35.82,14.6,367,20885
2017,23.06,49.16,116.04,28.86,6.75,380,21385
2017,13.78,56.16,95.86,34.94,10.4,358,20009
2017,16.7,40.36,93.98,25.86,16.2,380,19403
2017,35.52,54.06,96.18,13.76,13.5,389,18854
2017,10.76,36.94,94.14,36.2,13.5,379,20677
2017,29.68,59.16,96,23.06,14.4,362,18252
2017,12.86,54.88,87.84,25.98,12.6,401,20496
2017,24.22,44.32,88.6,21.82,6.75,401,17882
2017,21.02,44.6,95.98,26.88,9.9,402,21378
2017,13.2,43.1,96.24,34.4,8.1,407,20517
2017,22.82,54.52,94.62,28.08,18,408,17781
2017,45.32,44.04,95.74,19.88,12.6,408,19180
2017,13.02,42.62,89.18,41.3,19.8,403,21517
2017,7.5,53.5,90.76,33.58,24.9,405,19710
2017,30.98,52.9,95.84,34.08,24.79,414,21433
2017,29.02,39.86,100.74,26.44,13.5,449,21744
2017,12.34,49.8,92.72,26.64,20.25,442,19497
2017,9.26,41.28,65.86,26.52,27.45,444,19761
2017,35.74,45.84,93.9,13.74,21.6,450,18392
2017,5.66,55.18,92.46,34.1,11.7,442,22450
2017,27.26,37.64,93.74,26.42,4.5,447,18819
2017,23.02,48.7,100.06,31.06,7.45,452,20163
2017,11.86,54.08,92.28,34.94,18.45,440,20769
2017,24.24,56.24,101.08,6.36,4.5,420,19414
2017,17.12,44.88,110.8,27.38,18.9,443,19881
2017,11.8,49.76,109.42,13.2,9,429,19262
2017,18.24,32.5,67.82,21.02,4.5,426,18396
2017,10.68,60.44,99.72,33.34,7.2,428,19286
2017,28.14,43.86,63.88,19.68,16.2,420,19317
2017,17.5,56.96,72.96,19.36,4.5,412,21580
2017,11.56,48.14,65.02,21.84,3.6,283,19299
2017,5.54,36.36,62.7,33.32,16.2,227,19255
2017,31.62,52.88,70.78,21.94,6.3,20,18009
2017,28.82,57.76,105.38,13.16,21.6,216,19625
2017,5.86,48.84,100.1,33.58,29.7,378,16968
2017,25.48,43.78,156.76,25.52,5.4,360,19644
2017,5.74,54.38,144.16,31.68,21.6,440,18428
2017,31.46,54.3,145.16,17.88,4.5,409,20863
2017,17.48,59.04,129.98,18.24,33.75,540,19049
2017,16.74,46.42,149.16,13.82,71.55,538,22360
2017,17.84,63.2,104,13.02,55,503,21000
2017,19.8,51.66,147.96,41.1,39.15,483,23204
2017,11.8,54.26,150.88,25.84,2.7,537,23008
2017,36.52,48.7,101.4,18.66,1.34,420,21128
2017,17.36,58.92,136.5,24.6,0,443,22143
2017,18.56,49.02,102.64,24.94,0,427,22440
2017,22.9,45.72,130.7,25.06,0,438,20864
2017,13.7,55.34,104.56,28.4,0,236,21857
2017,19.22,40.18,127.16,12.66,0,244,20646
2017,33.78,52.92,180.76,19.28,0,280,16126
2017,0,65.76,120.66,0,0,226,15022
2017,0,60.12,136.68,0,0,220,11722
2017,0,55.12,110.92,0,0,268,17036
2017,34.54,30.36,132.94,24.28,0,285,17093
2017,18.18,78.42,116.62,33.08,0,316,18324
2017,16.06,28.02,151.58,39.72,0,325,19015
2017,21.1,73.76,150.46,34.2,0,344,14304
2017,11.32,53.88,53.88,33.18,0,364,18793
2017,0.001,62.56,62.54,0,0,128,10941
2017,12.4,62.02,96.5,0,0,468,16703
2017,49.6,54.78,125.5,18.9,0,365,16693
2017,33.3,61.72,120.18,30.92,0,385,19403
2017,23.64,65.62,120.64,22.04,0,386,20184
2017,12.92,51.38,112,27.18,0,383,18727
2017,13.16,77.9,125.2,35.06,0,428,18572
2017,5.56,75.24,117.62,37.96,0,350,15515
2017,18.32,70.56,118.58,32.56,0,397,18532
2017,5.46,63.92,120.44,40.68,0,433,21448
2017,25.38,78.44,120,19.48,0,378,18084
2017,36,56.22,39.28,13.04,0,389,19718
2017,13.12,65.16,149.86,39.88,0,421,19283
2017,32.46,78.62,174,26.58,0,455,16033
2017,11.5,71.76,196.64,25.76,0,387,18643
2017,24.56,55.7,199.32,19.88,0,345,16428
2017,30.48,75.1,192.44,19.5,0,388,19115
2017,12.42,70.72,183.8,25.84,0,378,17393
2017,17.82,64.5,169.78,26.38,0,388,18919
2017,16.24,80.62,123.54,34.04,0,423,16364
2017,25.9,69.32,173.68,5.94,0,438,15687
2017,29.32,45.6,113.54,13.4,0,437,15781
2017,3.92,100.58,132.76,38.08,0,387,16773
2017,30.86,68.02,109.88,25.28,0,389,20869
2017,19.26,59.4,110.76,25.74,0,316,15515
2017,25.36,99.2,154.98,20.68,0,142,17605
2017,12.28,59.24,115.5,31.88,5.4,331,17516
2017,17.9,46.86,130.16,12.54,5.4,351,14682
2017,12,63.5,66.7,24.44,5.4,485,14765
2017,6.88,61.6,117.14,12.98,5.4,410,16981
2017,9.56,76.52,114.84,17.18,5.4,408,13722
2017,30.94,66.14,120.86,12.24,5.4,396,19999
2017,31.54,50.22,66.48,25.62,1.8,388,18336
2017,18.36,63.8,138.82,26.22,5.4,380,18092
2017,16.8,56.58,107.52,38.58,5.4,379,19284
2017,30.58,103.38,132.58,25.25,5.4,376,18940
2017,31.92,65.1,146.42,33.7,0,272,17730
2017,18.86,60.94,119.52,19.66,0,305,15759
2017,18.28,75.22,140.78,32.74,0,341,16851
2017,27.16,46.24,102.74,33.52,0,119,8987
2017,23.28,62.34,92.08,12.56,0,215,12296
2017,25.58,65.06,100.68,32.42,0,0,12280
2017,27.04,79.76,102.1,34.06,0,285,12642
2017,39.3,71.26,164.66,39.2,0,248,17361
2017,24.04,74.24,125.18,33.06,24.04,22,14861
2017,12.26,64.02,200.86,26.48,0,209,14844
2017,25.66,70.64,260.32,41.18,0,64.6,18302
2017,25.48,84.3,268.48,41.52,0,0,14561
2017,48.54,76.64,354.96,36.56,0,0,14193
2017,0,74.88,174.52,0,0,0,0
2017,0,26.24,181.16,0,0,0,0
2017,12.82,95.78,130.84,12.22,0,104,0
2017,29.96,80.16,284.04,18.14,0,160,4757
2017,45.22,75.2,418.65,20.64,0,204,13571
2017,0,85.12,280.56,49.56,0,240,14155
2017,11.04,76.04,351.9,13.44,0,300,14548
2017,19.94,73.32,140.08,18.8,4.5,180,12128
2017,18.3,60.86,150.74,36.4,4.5,200,12400
2017,34.86,65.94,117.22,20.7,4.5,251,14661
2017,18,93.68,221.26,33.62,0,272,19977
2017,12.12,70.76,287.92,41,0,260,17710
2017,44.66,91.28,123.12,18.84,0,288,18389
2017,18,64.38,100.5,27.72,10.35,102,18186
2017,11.84,50.42,97.86,26.62,10.35,50,15892
2017,38.52,85.04,91,13.58,7.65,98,12055
2017,39.12,83.92,124.66,26.82,10.35,123,13449
2017,29.82,72.14,139.4,33.38,10.35,83,13991
2017,31.4,80.6,116.86,27.62,0,100,15670
2017,25.54,68.28,121.88,28.46,0,160,16781
2017,22.46,48.94,100.36,39.28,0,204,14302
2017,23.8,104.54,128.34,45.44,0,260,18552
2017,18.3,69.88,72.1,6.54,0,151,8356
2017,24.56,83.96,99.1,50.96,0,306,15222
2017,41.14,96.3,95.58,32.76,0,0,17143
2017,26.92,60.86,116.64,36.96,0,0,19345
2017,24.2,58.08,134.6,48.66,0,0,19299
2017,25.76,86.72,213.6,37.48,0,0,17272
2017,32.62,96.2,169.52,30.9,0,0,20468
2017,32.82,74.34,173.92,31.9,0,0,20573
2017,38.86,73.7,166.76,34.5,0,0,19952
2017,19.76,73.98,99.86,40.8,0,0,18656
2017,27.26,64.84,102.84,39.04,0,0,20258
2017,25.64,94.98,106.24,31.94,0,0,21170
2017,24.58,68.56,125.34,45.5,0,0,22799
2017,38.78,105.14,104.52,32.4,0,0,19908
2017,37.52,90.98,108.86,53.12,0,541,21009
2017,24.34,54.2,111.74,26.02,0,421,19914
2017,42.12,76.18,120.76,40.92,15,428,18874
2017,29.22,66.36,104.54,54.32,0,417,21643
2017,25.88,103.64,69.76,38.24,0,396,21278
2017,43.16,83.24,111.18,24.86,0,363,18248
2017,30.36,105.28,108.34,54.74,0,327,17840
2017,31.16,69.78,88.86,33.4,5.4,4.1,21141
2017,35.36,63.08,111.4,27.6,10.8,378,19657
2017,20.18,96.58,100.66,40.08,4.5,203,22195
2017,12.72,67.62,111.84,38.22,4.5,167,19714
2017,39.3,71.98,116.72,33.22,0,202,21030
2017,18.64,117.16,95.56,20.4,0,270,20451
2017,39.84,66.14,116.84,39.52,0,277,20543
2017,30.96,40.56,92.06,33.72,0,278,20875
2017,39.5,111.26,109.48,27.44,0,282,21222
2017,24.94,109.08,80.32,48.84,0,150,22809
2017,39.36,89.56,113.42,50.88,0,288,21903
2017,34.48,106.66,99.56,50,0,265,20814
2017,32.54,59.48,105.58,40.54,0,287,20813
2017,32.52,72.98,108.66,41.64,0,279,19834
2017,26.46,98.64,110.12,30.38,6.75,278,19039
2017,33.9,91.16,114.58,35.14,13.5,274,20027
2017,37.72,108.14,94.24,52.06,20.25,269,21595
2017,39,93.32,88.82,55.2,20.25,268,22701
2017,24.8,67.56,123.36,35.22,20.25,217,19566
2017,25.42,77.12,130.8,48.2,9,251,19579
2017,31.42,103.58,129.94,50.14,20.25,269,20319
2017,30.96,126.64,91.88,47.64,20.25,140,22824
2017,25.9,116.47,88.74,36.56,20.25,141,20373
2017,26.54,82.4,115.1,27.9,20.25,34,20568
2017,25.8,51.98,152.56,28.1,20.25,169,18746
2018,24.68,71.34,150.8,33.66,20.25,99,16839
2018,6.8,106.02,105.48,56.75,6.75,0,13502
2018,36.74,108.63,95.74,27.08,18,0,15562
2018,33.34,115.15,83.1,48.62,20.25,0,16067
2018,36.7,98.29,94.95,37.34,13.5,0,17189
2018,33.32,74.45,115.33,28.1,20.25,0,20171
2018,31.3,52.24,114.4,29.56,20.25,0,15486
2018,20.26,109.88,113.12,64.36,20.25,0,14971
2018,30.94,106.34,115.46,41.84,20.25,100,16321
2018,44.88,91.55,143.88,36.42,20.25,181,20493
2018,19.24,100.86,112.79,39.64,20.25,153,17614
2018,39.02,56.19,145.31,41.7,20.25,258,19348
2018,34.7,67.54,112.25,33.98,20.25,289,19977
2018,24.68,98.69,114.38,36.78,20.25,291,19272
2018,39.7,86.56,116.75,19.54,20.25,284,22037
2018,49.56,100.92,115.3,43.94,33.75,281,20559
2018,32.32,93.28,113.62,55.18,41.3,283,22491
2018,11.26,56.84,117.34,43.06,0,292,19002
2018,25.14,59.8,117.26,41.82,0,265,20528
2018,36.78,117.08,110.68,35.12,0,288,18111
2018,26.04,81.28,112.56,35.74,20.25,283,18805
2018,29.16,99.72,118.2,29.64,0,278,19184
2018,44.6,120,115.34,35.1,6.3,280,18674
2018,18.5,73.24,110.66,72.14,11.25,289,20001
2018,29.7,63.18,116.92,56.84,20.25,0,18968
2018,19.34,119.4,109.78,48.36,9,184,19731
2018,30.76,102.48,115.58,41.26,20.25,200,24068
2018,18.62,104.88,114.46,42.44,0,395,19708
2018,24.88,108.62,109.94,34.32,0,391,15843
2018,30.9,101.3,113.7,27.8,20.25,393,19930
2018,19.98,93.3,108.74,49.44,0,371,18436
2018,38.44,97.48,54.1,27.2,11.7,365,21786
2018,27.56,103.38,139.32,51.12,20.25,355,19592
2018,44.48,99.22,110.42,57.8,9,356,20865
2018,40.62,77.3,113.38,49.62,0,369,23624
2018,24.54,52.38,89.4,45.5,4.5,352,22312
2018,33.64,58.86,146.82,49.58,10,270,20332
2018,24.78,81.02,115.66,42.2,9,242,20541
2018,27.1,75.5,118.54,35.42,8.1,205,19097
2018,45.78,79.4,137.709,64.08,0,0,17886
2018,24.46,80.94,115.16,71,0,69,18426
2018,42.78,54.14,116.58,52.92,11.25,0,17663
2018,39.24,60.08,112.9,37.3,6.75,0,16435
2018,23.34,68.16,143.1,78.54,9,30,18489
2018,37.78,59.14,147.18,50,0,82,15096
2018,0,15.4,58.46,0,0,63,7724
2018,0,21.06,0,0,0,0,10838
2018,0,39.6,4,0,0,18,7528
2018,0,37.26,59.56,0,10.35,167,9333
2018,37.86,36.8,114.18,49.12,13.5,37,9690
2018,38.7,54.92,88.24,64.38,4.5,8,15159
2018,30.68,75.4,49.58,43.76,20.25,68,12340
2018,23.8,86.28,114.22,35.94,20.25,88,15882
2018,29.6,55.02,117.76,64,9,0,18439
2018,33.7,59.52,107.76,47.58,10.8,212,17772
2018,63.76,86.62,83.1,64.38,11.25,188,18322
2018,12.44,96.18,111.46,33.98,15.75,301,19173
,,,,,,,
,,,,,,,